,SE UniICD,System,Description
10298,9:121,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10299,9:121A,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10300,9:121B,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10301,9:121C,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10302,9:121D,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10303,9:121E,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10304,9:121F,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10305,9:121G,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10306,9:121W,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10307,9:121X,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10308,9:122,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10309,9:122A,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10310,9:122B,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10311,9:122C,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10312,9:122D,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10313,9:122E,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10314,9:122F,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10315,9:122G,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10316,9:122H,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10317,9:122W,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10318,9:122X,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10319,9:123,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10320,9:123A,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10321,9:123B,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10322,9:123C,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10323,9:123D,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10324,9:123E,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10325,9:123F,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10326,9:123G,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10327,9:123W,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10328,9:123X,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10329,9:124,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10330,9:125,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10331,9:125A,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10332,9:125B,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10333,9:125C,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10334,9:125D,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10335,9:125E,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10336,9:125F,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10337,9:125G,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10338,9:125H,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10339,9:125X,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10340,9:126,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10341,9:126A,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10342,9:126B,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10343,9:126C,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10344,9:126D,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10345,9:126W,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10346,9:126X,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10347,9:127,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10348,9:127A,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10349,9:127B,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10350,9:127C,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10351,9:127D,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10352,9:127E,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10353,9:127F,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10354,9:127G,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10355,9:127H,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10356,9:127W,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10357,9:127X,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10358,9:128,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10359,9:128A,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10360,9:128B,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10361,9:128W,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10362,9:128X,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10363,9:129,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10364,9:134,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10365,9:134C,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10366,9:484,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10367,9:484W,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10368,9:686,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10369,9:686W,"Infections caused by fungi, protozoans, worms, and infestations",Helminthiases
10370,10:B35,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10371,10:B36,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10372,10:B37,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10373,10:B38,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10374,10:B39,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10375,10:B40,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10376,10:B41,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10377,10:B42,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10378,10:B43,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10379,10:B44,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10380,10:B45,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10381,10:B46,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10382,10:B47,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10383,10:B48,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10384,10:B49,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10385,8:039,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10386,"8:039,9","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10387,8:045,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10388,8:110,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10389,"8:110,0","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10390,"8:110,1","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10391,"8:110,9","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10392,8:111,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10393,"8:111,0","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10394,"8:111,1","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10395,"8:111,2","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10396,"8:111,8","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10397,"8:111,9","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10398,8:112,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10399,8:114,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10400,8:115,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10401,8:116,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10402,"8:116,1","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10403,"8:116,2","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10404,8:117,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10405,"8:117,0","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10406,"8:117,1","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10407,"8:117,2","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10408,"8:117,3","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10409,"8:117,4","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10410,"8:117,8","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10411,"8:117,9","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10412,8:136,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10413,8:269,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10414,8:320,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10415,"8:320,8","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10416,8:482,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10417,8:483,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10418,8:519,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10419,"8:519,2","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10420,8:692,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10421,8:708,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10422,8:788,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10423,"8:788,9","Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10424,8:962,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10425,8:968,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10426,8:977,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10427,8:988,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10428,8:994,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10429,8:995,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10430,8:E930,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10431,8:E934,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10432,8:E936,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10433,8:E968,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10434,9:039,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10435,9:039E,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10436,9:039X,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10437,9:110,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10438,9:110A,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10439,9:110B,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10440,9:110C,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10441,9:110D,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10442,9:110E,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10443,9:110F,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10444,9:110G,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10445,9:110W,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10446,9:110X,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10447,9:111,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10448,9:111A,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10449,9:111B,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10450,9:111C,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10451,9:111D,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10452,9:111W,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10453,9:111X,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10454,9:112,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10455,9:112A,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10456,9:112B,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10457,9:112C,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10458,9:112D,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10459,9:112E,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10460,9:112F,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10461,9:112W,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10462,9:112X,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10463,9:114,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10464,9:114A,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10465,9:114B,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10466,9:114C,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10467,9:114D,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10468,9:114E,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10469,9:114F,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10470,9:114X,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10471,9:115,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10472,9:115A,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10473,9:115B,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10474,9:115X,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10475,9:116,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10476,9:116A,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10477,9:116B,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10478,9:116C,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10479,9:117,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10480,9:117A,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10481,9:117B,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10482,9:117C,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10483,9:117D,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10484,9:117E,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10485,9:117F,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10486,9:117G,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10487,9:117H,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10488,9:117W,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10489,9:117X,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10490,9:118,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10491,9:321,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10492,9:321A,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10493,9:484,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10494,9:484G,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10495,9:518,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10496,9:518G,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10497,9:995,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10498,9:995X,"Infections caused by fungi, protozoans, worms, and infestations",Mycoses
10499,10:B85,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10500,10:B86,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10501,10:B87,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10502,10:B88,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10503,10:B89,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10504,8:132,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10505,8:133,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10506,"8:133,0","Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10507,"8:133,9","Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10508,8:134,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10509,"8:134,0","Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10510,"8:134,2","Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10511,"8:134,3","Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10512,"8:134,9","Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10513,8:136,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10514,9:132,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10515,9:132A,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10516,9:132B,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10517,9:132C,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10518,9:132D,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10519,9:132X,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10520,9:133,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10521,9:133A,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10522,9:133W,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10523,9:133X,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10524,9:134,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10525,9:134A,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10526,9:134B,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10527,9:134C,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10528,9:134W,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10529,9:134X,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10530,9:136,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10531,9:136X,"Infections caused by fungi, protozoans, worms, and infestations","Pediculosis, acariasis and other infestations"
10532,10:B50,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10533,10:B51,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10534,10:B52,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10535,10:B53,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10536,10:B54,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10537,10:B55,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10538,10:B56,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10539,10:B57,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10540,10:B58,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10541,10:B59,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10542,10:B60,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10543,10:B64,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10544,8:084,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10545,"8:084,0","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10546,"8:084,1","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10547,"8:084,2","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10548,"8:084,3","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10549,"8:084,4","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10550,"8:084,5","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10551,"8:084,8","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10552,"8:084,9","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10553,8:085,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10554,"8:085,0","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10555,"8:085,1","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10556,"8:085,2","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10557,"8:085,9","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10558,8:086,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10559,"8:086,0","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10560,"8:086,8","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10561,"8:086,9","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10562,8:087,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10563,"8:087,0","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10564,"8:087,1","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10565,"8:087,8","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10566,"8:087,9","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10567,8:089,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10568,"8:089,9","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10569,8:090,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10570,8:130,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10571,"8:130,0","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10572,"8:130,1","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10573,"8:130,9","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10574,8:136,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10575,8:360,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10576,8:363,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10577,"8:363,9","Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10578,8:372,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10579,8:378,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10580,8:581,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10581,9:084,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10582,9:084A,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10583,9:084B,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10584,9:084C,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10585,9:084D,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10586,9:084E,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10587,9:084F,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10588,9:084G,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10589,9:084H,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10590,9:084W,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10591,9:084X,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10592,9:085,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10593,9:085A,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10594,9:085B,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10595,9:085C,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10596,9:085D,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10597,9:085E,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10598,9:085F,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10599,9:085X,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10600,9:086,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10601,9:086A,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10602,9:086B,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10603,9:086C,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10604,9:086D,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10605,9:086E,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10606,9:086F,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10607,9:086X,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10608,9:088,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10609,9:088W,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10610,9:088X,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10611,9:130,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10612,9:130A,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10613,9:130B,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10614,9:130C,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10615,9:130D,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10616,9:130E,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10617,9:130F,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10618,9:130H,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10619,9:130W,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10620,9:130X,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10621,9:136,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10622,9:136C,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10623,9:136D,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10624,9:136E,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10625,9:136W,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10626,9:136X,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10627,9:370,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10628,9:370W,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10629,9:372,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10630,9:372B,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10631,9:581,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10632,9:581W,"Infections caused by fungi, protozoans, worms, and infestations",Protozoal diseases
10633,10:S30,Injury,"abdomen, lower back, lumbar spine and pelvis"
10634,10:S31,Injury,"abdomen, lower back, lumbar spine and pelvis"
10635,10:S32,Injury,"abdomen, lower back, lumbar spine and pelvis"
10636,10:S33,Injury,"abdomen, lower back, lumbar spine and pelvis"
10637,10:S34,Injury,"abdomen, lower back, lumbar spine and pelvis"
10638,10:S35,Injury,"abdomen, lower back, lumbar spine and pelvis"
10639,10:S36,Injury,"abdomen, lower back, lumbar spine and pelvis"
10640,10:S37,Injury,"abdomen, lower back, lumbar spine and pelvis"
10641,10:S38,Injury,"abdomen, lower back, lumbar spine and pelvis"
10642,10:S39,Injury,"abdomen, lower back, lumbar spine and pelvis"
10643,8:720,Injury,"abdomen, lower back, lumbar spine and pelvis"
10644,8:723,Injury,"abdomen, lower back, lumbar spine and pelvis"
10645,"8:723,9",Injury,"abdomen, lower back, lumbar spine and pelvis"
10646,8:729,Injury,"abdomen, lower back, lumbar spine and pelvis"
