,US UniICD,System,Description
13665,10:Z48,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13666,10:Z49,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13667,10:Z51,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13668,10:Z52,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13669,10:Z53,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13670,8:796,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13671,8:N960,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13672,8:N962,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13673,8:N964,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13674,8:N965,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13675,8:N977,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13676,8:N998,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13677,8:Y19,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13678,8:Y20,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13679,8:Y29,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13680,8:Y30,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13681,8:Y34,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13682,8:Y34.3,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13683,8:Y34.9,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13684,8:Y39,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13685,8:Y44,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13686,8:Y49,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13687,8:Y50,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13688,8:Y51,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13689,8:Y59,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13690,8:Y70,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13691,8:Y70.0,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13692,8:Y70.1,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13693,8:Y70.2,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13694,8:Y70.3,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13695,8:Y70.9,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13696,8:Y71,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13697,8:Y79,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13698,9:V070,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13699,9:V071,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13700,9:V072,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13701,9:V073,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13702,9:V0731,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13703,9:V0739,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13704,9:V078,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13705,9:V079,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13706,9:V42,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13707,9:V420,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13708,9:V421,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13709,9:V426,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13710,9:V427,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13711,9:V428,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13712,9:V4281,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13713,9:V4289,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13714,9:V429,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13715,9:V50,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13716,9:V500,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13717,9:V501,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13718,9:V502,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13719,9:V503,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13720,9:V504,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13721,9:V5041,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13722,9:V5042,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13723,9:V5049,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13724,9:V508,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13725,9:V509,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13726,9:V51,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13727,9:V510,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13728,9:V518,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13729,9:V52,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13730,9:V520,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13731,9:V521,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13732,9:V522,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13733,9:V523,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13734,9:V524,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13735,9:V528,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13736,9:V529,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13737,9:V53,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13738,9:V530,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13739,9:V5301,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13740,9:V5302,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13741,9:V5309,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13742,9:V531,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13743,9:V532,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13744,9:V533,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13745,9:V5331,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13746,9:V5332,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13747,9:V5339,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13748,9:V534,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13749,9:V535,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13750,9:V5350,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13751,9:V5351,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13752,9:V5359,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13753,9:V536,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13754,9:V537,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13755,9:V538,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13756,9:V539,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13757,9:V5390,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13758,9:V5391,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13759,9:V5399,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13760,9:V54,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13761,9:V540,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13762,9:V5401,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13763,9:V5402,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13764,9:V5409,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13765,9:V548,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13766,9:V5481,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13767,9:V5482,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13768,9:V5489,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13769,9:V549,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13770,9:V55,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13771,9:V550,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13772,9:V551,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13773,9:V552,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13774,9:V553,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13775,9:V554,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13776,9:V555,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13777,9:V556,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13778,9:V557,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13779,9:V558,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13780,9:V559,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13781,9:V56,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13782,9:V560,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13783,9:V561,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13784,9:V562,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13785,9:V563,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13786,9:V5631,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13787,9:V5632,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13788,9:V568,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13789,9:V57,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13790,9:V570,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13791,9:V571,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13792,9:V572,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13793,9:V5721,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13794,9:V5722,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13795,9:V573,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13796,9:V574,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13797,9:V578,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13798,9:V5781,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13799,9:V5789,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13800,9:V579,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13801,9:V58,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13802,9:V580,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13803,9:V581,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13804,9:V5811,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13805,9:V5812,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13806,9:V582,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13807,9:V583,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13808,9:V5830,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13809,9:V5831,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13810,9:V5832,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13811,9:V584,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13812,9:V5841,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13813,9:V5842,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13814,9:V5843,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13815,9:V5844,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13816,9:V5849,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13817,9:V585,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13818,9:V587,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13819,9:V5871,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13820,9:V5872,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13821,9:V5873,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13822,9:V5874,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13823,9:V5875,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13824,9:V5876,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13825,9:V5877,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13826,9:V5878,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13827,9:V588,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13828,9:V5881,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13829,9:V5882,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13830,9:V5883,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13831,9:V5889,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13832,9:V589,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13833,9:V59,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13834,9:V590,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13835,9:V5901,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13836,9:V5902,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13837,9:V5909,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13838,9:V591,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13839,9:V592,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13840,9:V593,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13841,9:V594,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13842,9:V595,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13843,9:V596,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13844,9:V597,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13845,9:V5970,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13846,9:V5971,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13847,9:V5972,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13848,9:V5973,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13849,9:V5974,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13850,9:V598,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13851,9:V599,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13852,9:V62,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13853,9:V626,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13854,9:V64,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13855,9:V640,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13856,9:V6406,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13857,9:V641,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13858,9:V642,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13859,9:V643,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13860,9:V65,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13861,9:V654,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13862,9:V6546,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13863,9:V66,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13864,9:V660,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13865,9:V661,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13866,9:V662,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13867,9:V663,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13868,9:V664,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13869,9:V665,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13870,9:V666,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13871,9:V667,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13872,9:V669,External causes of morbidity and mortality,Persons encountering health services for specific procedures and health care
13873,10:Z30,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13874,10:Z31,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13875,10:Z32,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13876,10:Z33,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13877,10:Z34,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13878,10:Z36,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13879,10:Z37,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13880,10:Z38,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13881,10:Z39,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13882,8:641,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13883,8:641.9,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13884,8:645,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13885,8:645.9,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13886,8:650,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13887,8:650.9,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13888,8:661,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13889,8:661.9,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13890,8:796,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13891,8:Y02,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13892,8:Y06,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13893,8:Y06.0,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13894,8:Y07,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13895,8:Y09,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13896,8:Y10,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13897,8:Y12,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13898,8:Y43,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13899,8:Y59,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13900,8:Y60,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13901,8:Y61,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13902,8:Y69,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13903,8:Y71,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13904,8:Y79,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13905,8:Y80,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13906,8:Y80.0,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13907,8:Y80.1,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13908,8:Y80.2,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13909,8:Y81,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13910,8:Y81.0,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13911,8:Y81.1,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13912,8:Y81.2,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13913,8:Y82,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13914,8:Y82.0,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13915,8:Y82.1,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13916,8:Y82.2,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13917,8:Y83,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13918,8:Y83.0,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13919,8:Y83.1,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13920,8:Y83.2,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13921,8:Y84,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13922,8:Y84.0,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13923,8:Y84.1,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13924,8:Y84.2,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13925,8:Y85,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13926,8:Y85.0,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13927,8:Y85.1,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13928,8:Y85.2,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13929,8:Y86,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13930,8:Y86.0,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13931,8:Y86.1,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13932,8:Y86.2,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13933,8:Y87,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13934,8:Y87.0,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13935,8:Y87.1,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13936,8:Y87.2,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13937,8:Y89,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13938,8:Y89.0,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13939,8:Y89.1,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13940,8:Y89.2,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13941,9:635,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13942,9:6359,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13943,9:63590,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13944,9:63591,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13945,9:63592,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13946,9:636,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13947,9:6369,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13948,9:63690,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13949,9:63691,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13950,9:63692,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13951,9:637,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13952,9:6379,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13953,9:63790,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13954,9:63791,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13955,9:63792,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13956,9:V22,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13957,9:V220,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13958,9:V221,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13959,9:V222,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13960,9:V24,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13961,9:V240,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13962,9:V241,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13963,9:V242,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13964,9:V25,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13965,9:V250,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13966,9:V2501,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13967,9:V2502,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13968,9:V2503,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13969,9:V2504,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13970,9:V2509,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13971,9:V251,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13972,9:V2511,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13973,9:V2512,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13974,9:V2513,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13975,9:V252,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13976,9:V253,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13977,9:V254,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13978,9:V2540,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13979,9:V2541,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13980,9:V2542,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13981,9:V2543,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13982,9:V2549,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13983,9:V255,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13984,9:V258,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13985,9:V259,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13986,9:V26,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13987,9:V260,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13988,9:V261,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13989,9:V262,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13990,9:V2621,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13991,9:V2622,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13992,9:V2629,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13993,9:V263,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13994,9:V2631,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13995,9:V2632,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13996,9:V2633,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13997,9:V2634,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13998,9:V2635,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
13999,9:V2639,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
14000,9:V264,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
14001,9:V2641,External causes of morbidity and mortality,Persons encountering health services in circumstances related to reproduction
