ICD10,System,Description
N63,"Diseases of the genitourinary system: pelvis, genitals and breasts",Disorders of breast
N64,"Diseases of the genitourinary system: pelvis, genitals and breasts",Disorders of breast
N65,"Diseases of the genitourinary system: pelvis, genitals and breasts",Disorders of breast
N70,"Diseases of the genitourinary system: pelvis, genitals and breasts",Inflammatory diseases of female pelvic organs
N71,"Diseases of the genitourinary system: pelvis, genitals and breasts",Inflammatory diseases of female pelvic organs
N72,"Diseases of the genitourinary system: pelvis, genitals and breasts",Inflammatory diseases of female pelvic organs
N73,"Diseases of the genitourinary system: pelvis, genitals and breasts",Inflammatory diseases of female pelvic organs
N74,"Diseases of the genitourinary system: pelvis, genitals and breasts",Inflammatory diseases of female pelvic organs
N75,"Diseases of the genitourinary system: pelvis, genitals and breasts",Inflammatory diseases of female pelvic organs
N76,"Diseases of the genitourinary system: pelvis, genitals and breasts",Inflammatory diseases of female pelvic organs
N77,"Diseases of the genitourinary system: pelvis, genitals and breasts",Inflammatory diseases of female pelvic organs
N80,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N81,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N82,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N83,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N84,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N85,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N86,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N87,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N88,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N89,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N90,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N91,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N92,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N93,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N94,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N95,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N96,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N97,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N98,"Diseases of the genitourinary system: pelvis, genitals and breasts",Noninflammatory disorders of female genital tract
N99,"Diseases of the genitourinary system: pelvis, genitals and breasts",Other disorders of genitourinary tract
O00,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
O01,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
O02,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
O03,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
O04,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
O05,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
O06,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
O07,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
O08,"Pregnancy, childbirth and the puerperium",Pregnancy with abortive outcome
O09,"Pregnancy, childbirth and the puerperium",Supervision of high risk pregnancy
O10,"Pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O11,"Pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O12,"Pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O13,"Pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O14,"Pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O15,"Pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O16,"Pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium"
O20,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy
O21,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy
O22,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy
O23,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy
O24,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy
O25,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy
O26,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy
O27,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy
O28,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy
O29,"Pregnancy, childbirth and the puerperium",Other maternal disorders predominantly related to pregnancy
O30,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O31,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O32,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O33,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O34,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O35,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O36,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O37,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O38,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O39,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O40,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O41,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O42,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O43,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O44,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O45,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O46,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O47,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O48,"Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems
O60,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O61,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O62,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O63,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O64,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O65,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O66,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O67,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O68,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O69,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O70,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O71,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O72,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O73,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O74,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O75,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O76,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O77,"Pregnancy, childbirth and the puerperium",Complications of labour and delivery
O80,"Pregnancy, childbirth and the puerperium",Delivery
O81,"Pregnancy, childbirth and the puerperium",Delivery
O82,"Pregnancy, childbirth and the puerperium",Delivery
O83,"Pregnancy, childbirth and the puerperium",Delivery
O84,"Pregnancy, childbirth and the puerperium",Delivery
O85,"Pregnancy, childbirth and the puerperium",Complications predominantly related to the puerperium
O86,"Pregnancy, childbirth and the puerperium",Complications predominantly related to the puerperium
O87,"Pregnancy, childbirth and the puerperium",Complications predominantly related to the puerperium
O88,"Pregnancy, childbirth and the puerperium",Complications predominantly related to the puerperium
O89,"Pregnancy, childbirth and the puerperium",Complications predominantly related to the puerperium
O90,"Pregnancy, childbirth and the puerperium",Complications predominantly related to the puerperium
O91,"Pregnancy, childbirth and the puerperium",Complications predominantly related to the puerperium
O92,"Pregnancy, childbirth and the puerperium",Complications predominantly related to the puerperium
O94,"Pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified"
O95,"Pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified"
O96,"Pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified"
O97,"Pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified"
O98,"Pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified"
O99,"Pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified"
O9A,"Pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified"
P00,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
P01,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
P02,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
P03,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
P04,Certain conditions originating in the perinatal period,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery"
P05,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
P06,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
P07,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
P08,Certain conditions originating in the perinatal period,Disorders related to length of gestation and fetal growth
P09,Certain conditions originating in the perinatal period,Abnormal findings on neonatal screening
P10,Certain conditions originating in the perinatal period,Birth trauma
P11,Certain conditions originating in the perinatal period,Birth trauma
P12,Certain conditions originating in the perinatal period,Birth trauma
P13,Certain conditions originating in the perinatal period,Birth trauma
P14,Certain conditions originating in the perinatal period,Birth trauma
P15,Certain conditions originating in the perinatal period,Birth trauma
P19,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P20,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P21,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P22,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P23,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P24,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P25,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P26,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P27,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P28,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P29,Certain conditions originating in the perinatal period,Respiratory and cardiovascular disorders specific to the perinatal period
P35,Certain conditions originating in the perinatal period,Infections specific to the perinatal period
P36,Certain conditions originating in the perinatal period,Infections specific to the perinatal period
P37,Certain conditions originating in the perinatal period,Infections specific to the perinatal period
P38,Certain conditions originating in the perinatal period,Infections specific to the perinatal period
P39,Certain conditions originating in the perinatal period,Infections specific to the perinatal period
P50,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P51,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P52,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P53,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P54,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P55,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P56,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P57,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P58,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P59,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P60,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P61,Certain conditions originating in the perinatal period,Haemorrhagic and haematological disorders of fetus and newborn
P70,Certain conditions originating in the perinatal period,Transitory endocrine and metabolic disorders specific to fetus and newborn
P71,Certain conditions originating in the perinatal period,Transitory endocrine and metabolic disorders specific to fetus and newborn
P72,Certain conditions originating in the perinatal period,Transitory endocrine and metabolic disorders specific to fetus and newborn
P73,Certain conditions originating in the perinatal period,Transitory endocrine and metabolic disorders specific to fetus and newborn
P74,Certain conditions originating in the perinatal period,Transitory endocrine and metabolic disorders specific to fetus and newborn
P75,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
P76,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
P77,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
P78,Certain conditions originating in the perinatal period,Digestive system disorders of fetus and newborn
P80,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
P81,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
P82,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
P83,Certain conditions originating in the perinatal period,Conditions involving the integument and temperature regulation of fetus and newborn
P84,Certain conditions originating in the perinatal period,Other problems with newborn
P90,Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period
P91,Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period
P92,Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period
P93,Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period
P94,Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period
P95,Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period
P96,Certain conditions originating in the perinatal period,Other disorders originating in the perinatal period
Q00,Congenital malformations and deformations,nervous system
Q01,Congenital malformations and deformations,nervous system
Q02,Congenital malformations and deformations,nervous system
Q03,Congenital malformations and deformations,nervous system
Q04,Congenital malformations and deformations,nervous system
Q05,Congenital malformations and deformations,nervous system
Q06,Congenital malformations and deformations,nervous system
Q07,Congenital malformations and deformations,nervous system
Q10,Congenital malformations and deformations,"eye, ear, face and neck"
Q11,Congenital malformations and deformations,"eye, ear, face and neck"
Q12,Congenital malformations and deformations,"eye, ear, face and neck"
Q13,Congenital malformations and deformations,"eye, ear, face and neck"
Q14,Congenital malformations and deformations,"eye, ear, face and neck"
Q15,Congenital malformations and deformations,"eye, ear, face and neck"
Q16,Congenital malformations and deformations,"eye, ear, face and neck"
Q17,Congenital malformations and deformations,"eye, ear, face and neck"
Q18,Congenital malformations and deformations,"eye, ear, face and neck"
Q20,Congenital malformations and deformations,circulatory system
Q21,Congenital malformations and deformations,circulatory system
Q22,Congenital malformations and deformations,circulatory system
Q23,Congenital malformations and deformations,circulatory system
Q24,Congenital malformations and deformations,circulatory system
Q25,Congenital malformations and deformations,circulatory system
Q26,Congenital malformations and deformations,circulatory system
Q27,Congenital malformations and deformations,circulatory system
Q28,Congenital malformations and deformations,circulatory system
Q30,Congenital malformations and deformations,respiratory system
Q31,Congenital malformations and deformations,respiratory system
Q32,Congenital malformations and deformations,respiratory system
Q33,Congenital malformations and deformations,respiratory system
Q34,Congenital malformations and deformations,respiratory system
Q35,Congenital malformations and deformations,digestive system
Q36,Congenital malformations and deformations,digestive system
Q37,Congenital malformations and deformations,digestive system
Q38,Congenital malformations and deformations,digestive system
Q39,Congenital malformations and deformations,digestive system
Q40,Congenital malformations and deformations,digestive system
Q41,Congenital malformations and deformations,digestive system
Q42,Congenital malformations and deformations,digestive system
Q43,Congenital malformations and deformations,digestive system
Q44,Congenital malformations and deformations,digestive system
Q45,Congenital malformations and deformations,digestive system
Q50,Congenital malformations and deformations,genital organs
Q51,Congenital malformations and deformations,genital organs
Q52,Congenital malformations and deformations,genital organs
Q53,Congenital malformations and deformations,genital organs
Q54,Congenital malformations and deformations,genital organs
Q55,Congenital malformations and deformations,genital organs
Q56,Congenital malformations and deformations,genital organs
Q60,Congenital malformations and deformations,urinary system
Q61,Congenital malformations and deformations,urinary system
Q62,Congenital malformations and deformations,urinary system
Q63,Congenital malformations and deformations,urinary system
Q64,Congenital malformations and deformations,urinary system
Q65,Congenital malformations and deformations,musculoskeletal system
Q66,Congenital malformations and deformations,musculoskeletal system
Q67,Congenital malformations and deformations,musculoskeletal system
Q68,Congenital malformations and deformations,musculoskeletal system
Q69,Congenital malformations and deformations,musculoskeletal system
Q70,Congenital malformations and deformations,musculoskeletal system
Q71,Congenital malformations and deformations,musculoskeletal system
Q72,Congenital malformations and deformations,musculoskeletal system
Q73,Congenital malformations and deformations,musculoskeletal system
Q74,Congenital malformations and deformations,musculoskeletal system
Q75,Congenital malformations and deformations,musculoskeletal system
Q76,Congenital malformations and deformations,musculoskeletal system
Q77,Congenital malformations and deformations,musculoskeletal system
Q78,Congenital malformations and deformations,musculoskeletal system
Q79,Congenital malformations and deformations,musculoskeletal system
Q80,Congenital malformations and deformations,Other congenital malformations and deformations
Q81,Congenital malformations and deformations,Other congenital malformations and deformations
Q82,Congenital malformations and deformations,Other congenital malformations and deformations
Q83,Congenital malformations and deformations,Other congenital malformations and deformations
Q84,Congenital malformations and deformations,Other congenital malformations and deformations
Q85,Congenital malformations and deformations,Other congenital malformations and deformations
Q86,Congenital malformations and deformations,Other congenital malformations and deformations
Q87,Congenital malformations and deformations,Other congenital malformations and deformations
Q88,Congenital malformations and deformations,Other congenital malformations and deformations
Q89,Congenital malformations and deformations,Other congenital malformations and deformations
Q90,"Chromosomal abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q91,"Chromosomal abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q92,"Chromosomal abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q93,"Chromosomal abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q94,"Chromosomal abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q95,"Chromosomal abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q96,"Chromosomal abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q97,"Chromosomal abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q98,"Chromosomal abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
Q99,"Chromosomal abnormalities, not elsewhere classified","Chromosomal abnormalities, not elsewhere classified"
R00,Symptoms and signs,Circulatory and respiratory systems
R01,Symptoms and signs,Circulatory and respiratory systems
R02,Symptoms and signs,Circulatory and respiratory systems
R03,Symptoms and signs,Circulatory and respiratory systems
R04,Symptoms and signs,Circulatory and respiratory systems
R05,Symptoms and signs,Circulatory and respiratory systems
R06,Symptoms and signs,Circulatory and respiratory systems
R07,Symptoms and signs,Circulatory and respiratory systems
R08,Symptoms and signs,Circulatory and respiratory systems
R09,Symptoms and signs,Circulatory and respiratory systems
R10,Symptoms and signs,Digestive system and abdomen
R11,Symptoms and signs,Digestive system and abdomen
R12,Symptoms and signs,Digestive system and abdomen
R13,Symptoms and signs,Digestive system and abdomen
R14,Symptoms and signs,Digestive system and abdomen
R15,Symptoms and signs,Digestive system and abdomen
R16,Symptoms and signs,Digestive system and abdomen
R17,Symptoms and signs,Digestive system and abdomen
R18,Symptoms and signs,Digestive system and abdomen
R19,Symptoms and signs,Digestive system and abdomen
R20,Symptoms and signs,Skin and subcutaneous tissue
R21,Symptoms and signs,Skin and subcutaneous tissue
R22,Symptoms and signs,Skin and subcutaneous tissue
R23,Symptoms and signs,Skin and subcutaneous tissue
R25,Symptoms and signs,Nervous and musculoskeletal systems
R26,Symptoms and signs,Nervous and musculoskeletal systems
R27,Symptoms and signs,Nervous and musculoskeletal systems
R28,Symptoms and signs,Nervous and musculoskeletal systems
R29,Symptoms and signs,Nervous and musculoskeletal systems
R30,Symptoms and signs,Urinary system
R31,Symptoms and signs,Urinary system
R32,Symptoms and signs,Urinary system
R33,Symptoms and signs,Urinary system
R34,Symptoms and signs,Urinary system
R35,Symptoms and signs,Urinary system
R36,Symptoms and signs,Urinary system
R37,Symptoms and signs,Urinary system
R38,Symptoms and signs,Urinary system
R39,Symptoms and signs,Urinary system
R40,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
R41,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
R42,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
R43,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
R44,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
R45,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
R46,Symptoms and signs,"Cognition, perception, emotional state and behaviour"
R47,Symptoms and signs,Speech and voice
R48,Symptoms and signs,Speech and voice
R49,Symptoms and signs,Speech and voice
R50,Symptoms and signs,General symptoms and signs
R51,Symptoms and signs,General symptoms and signs
R52,Symptoms and signs,General symptoms and signs
R53,Symptoms and signs,General symptoms and signs
R54,Symptoms and signs,General symptoms and signs
R55,Symptoms and signs,General symptoms and signs
R56,Symptoms and signs,General symptoms and signs
R57,Symptoms and signs,General symptoms and signs
R58,Symptoms and signs,General symptoms and signs
R59,Symptoms and signs,General symptoms and signs
R60,Symptoms and signs,General symptoms and signs
R61,Symptoms and signs,General symptoms and signs
R62,Symptoms and signs,General symptoms and signs
R63,Symptoms and signs,General symptoms and signs
R64,Symptoms and signs,General symptoms and signs
R65,Symptoms and signs,General symptoms and signs
R66,Symptoms and signs,General symptoms and signs
R67,Symptoms and signs,General symptoms and signs
R68,Symptoms and signs,General symptoms and signs
R69,Symptoms and signs,General symptoms and signs
R70,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
R71,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
R72,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
R73,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
R74,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
R75,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
R76,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
R77,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
R78,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
R79,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of blood, without diagnosis"
R80,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
R81,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
R82,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of urine, without diagnosis"
R83,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
R84,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
R85,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
R86,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
R87,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
R88,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
R89,"Abnormal clinical and laboratory findings, not elsewhere classified","On examination of other body fluids, substances and tissues, without diagnosis"
R90,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
R91,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
R92,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
R93,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
R94,"Abnormal clinical and laboratory findings, not elsewhere classified","On diagnostic imaging and in function studies, without diagnosis"
R95,Ill-defined and unknown causes of mortality,Ill-defined and unknown causes of mortality
R96,Ill-defined and unknown causes of mortality,Ill-defined and unknown causes of mortality
R97,Ill-defined and unknown causes of mortality,Ill-defined and unknown causes of mortality
R98,Ill-defined and unknown causes of mortality,Ill-defined and unknown causes of mortality
R99,Ill-defined and unknown causes of mortality,Ill-defined and unknown causes of mortality
S00,Injury,head
S01,Injury,head
S02,Injury,head
S03,Injury,head
S04,Injury,head
S05,Injury,head
S06,Injury,head
S07,Injury,head
S08,Injury,head
S09,Injury,head
S10,Injury,neck
S11,Injury,neck
S12,Injury,neck
S13,Injury,neck
S14,Injury,neck
S15,Injury,neck
S16,Injury,neck
S17,Injury,neck
S18,Injury,neck
S19,Injury,neck
S20,Injury,thorax
S21,Injury,thorax
S22,Injury,thorax
S23,Injury,thorax
S24,Injury,thorax
S25,Injury,thorax
S26,Injury,thorax
S27,Injury,thorax
S28,Injury,thorax
S29,Injury,thorax
S30,Injury,"abdomen, lower back, lumbar spine and pelvis"
S31,Injury,"abdomen, lower back, lumbar spine and pelvis"
S32,Injury,"abdomen, lower back, lumbar spine and pelvis"
S33,Injury,"abdomen, lower back, lumbar spine and pelvis"
S34,Injury,"abdomen, lower back, lumbar spine and pelvis"
S35,Injury,"abdomen, lower back, lumbar spine and pelvis"
S36,Injury,"abdomen, lower back, lumbar spine and pelvis"
S37,Injury,"abdomen, lower back, lumbar spine and pelvis"
S38,Injury,"abdomen, lower back, lumbar spine and pelvis"
S39,Injury,"abdomen, lower back, lumbar spine and pelvis"
S40,Injury,shoulder and upper arm
S41,Injury,shoulder and upper arm
S42,Injury,shoulder and upper arm
S43,Injury,shoulder and upper arm
S44,Injury,shoulder and upper arm
S45,Injury,shoulder and upper arm
S46,Injury,shoulder and upper arm
S47,Injury,shoulder and upper arm
S48,Injury,shoulder and upper arm
S49,Injury,shoulder and upper arm
S50,Injury,elbow and forearm
S51,Injury,elbow and forearm
S52,Injury,elbow and forearm
S53,Injury,elbow and forearm
S54,Injury,elbow and forearm
S55,Injury,elbow and forearm
S56,Injury,elbow and forearm
S57,Injury,elbow and forearm
S58,Injury,elbow and forearm
S59,Injury,elbow and forearm
S60,Injury,wrist and hand
S61,Injury,wrist and hand
S62,Injury,wrist and hand
S63,Injury,wrist and hand
S64,Injury,wrist and hand
S65,Injury,wrist and hand
S66,Injury,wrist and hand
S67,Injury,wrist and hand
S68,Injury,wrist and hand
S69,Injury,wrist and hand
S70,Injury,hip and thigh
S71,Injury,hip and thigh
S72,Injury,hip and thigh
S73,Injury,hip and thigh
S74,Injury,hip and thigh
